Name,Fortune,Change,Tax,Age,Type
Peder Nærbø,"1,60 mrd","+1,60 mrd",0 mill,56,Industri
Peter Tang Thomsen,"1,60 mrd","+0,10 mrd",0 mill,60,Handel
Ståle Lindgren,"1,60 mrd","+0,05 mrd",0 mill,58,Handel
Sverre Berger Brott,"1,60 mrd","+1,60 mrd",0 mill,68,Finans
Asle Helgheim,"1,55 mrd","+0,40 mrd",0 mill,61,Industri
Hilde Midthjell,"1,55 mrd","+0,15 mrd",0 mill,65,Finans
Ivar S. Løge,"1,55 mrd","+0,15 mrd",0 mill,87,Finans
Kjartan Aas,"1,55 mrd","-0,25 mrd",0 mill,64,Eiendom
Knut Herman Holler Gjøvaag,"1,55 mrd","-0,05 mrd",0 mill,60,Eiendom
Thor Lundh,"1,55 mrd","0,00 mrd",0 mill,90,Industri
Tor Kirkeng,"1,55 mrd","-0,25 mrd",0 mill,72,Handel
Tore Thorstensen,"1,55 mrd","+0,15 mrd",0 mill,74,Finans
Aage Johan Remøy,"1,50 mrd","+1,50 mrd",0 mill,70,Shipping
Anton Jenssen,"1,50 mrd","-0,15 mrd",0 mill,72,Industri
Astrid Lærdal Frøseth,"1,50 mrd","+0,30 mrd",0 mill,82,Finans
Bernt Eidesvik,"1,50 mrd","+1,50 mrd",0 mill,55,Shipping
Dag Adler Blakseth,"1,50 mrd","+0,10 mrd",0 mill,61,Industri
Eivind Eidesvik,"1,50 mrd","+1,50 mrd",0 mill,50,Shipping
Erling Jenssen,"1,50 mrd","-0,15 mrd",0 mill,75,Industri
Harald Espedal,"1,50 mrd","+0,20 mrd",0 mill,53,Finans
Henrik Advocaat Lund,"1,50 mrd","-0,30 mrd",0 mill,46,Eiendom
Håkon Olaisen,"1,50 mrd","+0,20 mrd",0 mill,43,Sjømat
Jan Erik Rivelsrud,"1,50 mrd","+0,10 mrd",0 mill,47,Hotell/Reiseliv
Kenneth Sandvold,"1,50 mrd","-0,30 mrd",0 mill,74,Eiendom
Knut Roald,"1,50 mrd","+0,10 mrd",0 mill,65,Eiendom
Kristin Rivelsrud Juul Møller,"1,50 mrd","+0,10 mrd",0 mill,51,Hotell/Reiseliv
Lars Helge Helvig,"1,50 mrd","-0,10 mrd",0 mill,65,Industri
Maria Eidesvik,"1,50 mrd","+1,50 mrd",0 mill,45,Shipping
Maria Olaisen,"1,50 mrd","+0,20 mrd",0 mill,48,Sjømat
Pål Georg Gundersen,"1,50 mrd","-5,50 mrd",0 mill,73,Eiendom
Severin Skaugen,"1,50 mrd","+1,50 mrd",0 mill,70,Shipping
Ståle Gudmund Simonsen,"1,50 mrd","-0,30 mrd",0 mill,56,Eiendom
Torbjørn Seielstad,"1,50 mrd","-0,20 mrd",0 mill,74,Industri
Toril Eidesvik,"1,50 mrd","+1,50 mrd",0 mill,57,Shipping
Aino Olaisen,"1,45 mrd","+0,15 mrd",0 mill,51,Sjømat
Ellen Karlsen Raaholt,"1,45 mrd","-0,25 mrd",0 mill,67,Eiendom
Espen Aubert,"1,45 mrd","-0,50 mrd",0 mill,48,Eiendom
Eva Maria Kristoffersen,"1,45 mrd","+0,35 mrd",0 mill,54,Sjømat
Jill Beate Gleditsch,"1,45 mrd","+0,25 mrd",0 mill,53,Industri
Ottar Vartdal,"1,45 mrd","-0,05 mrd",0 mill,67,Sjømat
Paul-Christian Rieber,"1,45 mrd","+0,20 mrd",0 mill,67,Eiendom
Tollef Svenkerud,"1,45 mrd","+1,45 mrd",0 mill,48,Eiendom
Edvin Austbø,"1,40 mrd","-0,60 mrd",0 mill,61,Finans
Elisabeth Brochmann,"1,40 mrd","+0,05 mrd",0 mill,68,Hotell/Reiseliv
Espen Nordhus,"1,40 mrd","+0,10 mrd",0 mill,57,Finans
Gunnar Haagensen,"1,40 mrd","-0,30 mrd",0 mill,60,Sjømat
